candidate,C,gamma,epsilon,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
59,750.0,0.01,0.03,0.0015023572917822303,0.023252784980594524,0.038760254021126206,0.007897466570379024,0.03246574762459763,0.019366748604688008,0.02704498446412173,0.027822211601802156,0.03737127032301571,-0.023705736520973717,0.023705736520973717,0.7265917602996255,1266,90,177,267
29,300.0,0.01,0.03,0.0015058949263241873,0.02355348157868988,0.03880586200980707,0.008225594827165767,0.03220771376271875,0.01990311824040282,0.02682421058357617,0.027233234183560853,0.037320066465466976,-0.023716601849197598,0.023716601849197598,0.6853932584269663,1266,90,177,267
10,100.0,0.003,0.02,0.0015104181523326727,0.024214223568795407,0.038864098501479136,0.004139630118304186,0.038521834036404606,0.01817925991184176,0.025667878607570183,0.03341244647287035,0.046241750093860265,-0.0376161175202413,0.0376161175202413,0.7790262172284644,1266,90,177,267
38,500.0,0.001,0.03,0.0015176366352466475,0.025328886518768346,0.03895685607497925,0.004273205838787407,0.03993990039353168,0.019165947017090918,0.02361226078478627,0.03347985570436051,0.0497261006735706,-0.040162586077700006,0.040162586077700006,0.7677902621722846,1266,90,177,267
11,100.0,0.003,0.03,0.0015246308384391364,0.02524735028535235,0.03904652146400671,0.005339575946067317,0.038293219821035084,0.019744590149448255,0.025620902473614027,0.03148142274551134,0.04708047316798488,-0.038630890311906745,0.038630890311906745,0.7940074906367042,1266,90,177,267
54,750.0,0.001,0.04,0.0015298490715824893,0.026415239148008137,0.03911328510343371,0.006919666041648222,0.038398638728481545,0.02136062984629187,0.026308239894352044,0.03151456265987196,0.04703765505513153,-0.03599993740910533,0.03599993740910533,0.7528089887640449,1266,90,177,267
50,750.0,0.00075,0.03,0.0015449793823818728,0.02557329394475407,0.039306225745826484,0.004054525586491424,0.0408713548339143,0.01912055736117464,0.024114341249333225,0.034173413886017634,0.050959994423389963,-0.04095083833721871,0.04095083833721871,0.7677902621722846,1266,90,177,267
14,100.0,0.01,0.03,0.0015602154491508472,0.024312726089429536,0.03949956264505782,0.007639594943499681,0.03445264344417584,0.020035699337901478,0.02742433413859029,0.02891266356474287,0.040494307399840015,-0.02778151314424158,0.02778151314424158,0.6928838951310862,1266,90,177,267
66,1000.0,0.00075,0.04,0.0015816434928601344,0.02694249959584038,0.03976988173052737,0.006628289940387413,0.039665577008306155,0.021575893483473295,0.02563962398373084,0.03233591409715728,0.04925241636218305,-0.03802528449646146,0.03802528449646146,0.7677902621722846,1266,90,177,267
22,300.0,0.001,0.02,0.00163559163246699,0.02542751611846614,0.04044244839852046,0.0015458402307273681,0.044407775005089016,0.01742162492932189,0.025491487437029083,0.03771541676048307,0.055220558864342385,-0.046198246220615656,0.046198246220615656,0.7865168539325843,1266,90,177,267
34,500.0,0.00075,0.02,0.0016382743467118742,0.025415591910382784,0.04047560186966803,0.0014980665432551396,0.044602403582326214,0.017322576560605703,0.02566711153007966,0.03766888964768709,0.0555814607026757,-0.04595107444448286,0.04595107444448286,0.7940074906367042,1266,90,177,267
51,750.0,0.00075,0.04,0.0016425209912307058,0.027556226281558842,0.04052802723092633,0.006341188683600273,0.04089273864404117,0.021930872725819856,0.024883764799985587,0.03315109392510488,0.05142112351751206,-0.04065383015360773,0.04065383015360773,0.7715355805243446,1266,90,177,267
39,500.0,0.001,0.04,0.001644134916463989,0.02753977186098925,0.04054793356589197,0.006454965159101735,0.04075555083390635,0.021965343763408106,0.02560370623884153,0.03280995802543434,0.051130217278308514,-0.04064918670872071,0.04064918670872071,0.7677902621722846,1266,90,177,267
61,1000.0,0.0005,0.02,0.0016452134993083665,0.02540908258377571,0.04056123148165458,0.001359513541370116,0.04495607047676083,0.017164144562563977,0.025611992087609146,0.03774782288989385,0.056255047547544,-0.045728140943871905,0.045728140943871905,0.7752808988764045,1266,90,177,267
45,500.0,0.01,0.04,0.0016539025722952581,0.025947372403895268,0.040668200996543453,0.009246911026218618,0.03529237260743712,0.022005642460221218,0.02710130387474935,0.028515317241908967,0.04254606169223255,-0.027484193576737783,0.027484193576737783,0.7153558052434457,1266,90,177,267
