seed,model,candidate,alpha,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
3,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.02,,750.0,0.001,0.02,0.0027776226196959295,0.03277080107848067,2.819974292011466,0.6148809523809524,False
3,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.03,,750.0,0.001,0.03,0.0027226779331181957,0.03355639054058092,2.1540455410140567,0.48369047619047617,False
3,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.04,,750.0,0.001,0.04,0.00272800045728805,0.03464131548615684,1.679437417013105,0.3769047619047619,False
3,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.02,,750.0,0.003,0.02,0.0029929916512077413,0.03220715653793217,7.594044875004329,0.6079761904761904,False
3,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.03,,750.0,0.003,0.03,0.002865031958577275,0.032692969277088625,6.0965742919943295,0.4739285714285714,False
3,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.04,,750.0,0.003,0.04,0.0027748400519893896,0.03348776117217035,3.271734124980867,0.37607142857142856,False
3,rbf_svr,rbf_svr_C_750_gamma_0p01_eps_0.02,,750.0,0.01,0.02,0.003821531888523504,0.03588143120141446,13.09523891704157,0.6514285714285715,False
3,rbf_svr,rbf_svr_C_750_gamma_0p01_eps_0.03,,750.0,0.01,0.03,0.0035001903865700137,0.03560138181692584,7.547030457993969,0.5104761904761905,False
3,rbf_svr,rbf_svr_C_750_gamma_0p01_eps_0.04,,750.0,0.01,0.04,0.003295369401043904,0.03578718421066229,3.5046757080126554,0.4030952380952381,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p0005_eps_0.02,,1000.0,0.0005,0.02,0.0029558061888503824,0.034224537241119186,1.9857130000018515,0.6273809523809524,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p0005_eps_0.03,,1000.0,0.0005,0.03,0.002910298782739901,0.034986957940391035,1.668977791967336,0.4988095238095238,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p0005_eps_0.04,,1000.0,0.0005,0.04,0.002908265009725333,0.036178571398578926,1.2780127080040984,0.39071428571428574,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p00075_eps_0.02,,1000.0,0.00075,0.02,0.002784713134804124,0.03301774199248975,3.1130763340042904,0.6195238095238095,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p00075_eps_0.03,,1000.0,0.00075,0.03,0.0027344031217204977,0.03378355628137091,2.3284497910062782,0.4891666666666667,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p00075_eps_0.04,,1000.0,0.00075,0.04,0.002792461982171136,0.035204360452305426,1.6558025830308907,0.37857142857142856,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,,1000.0,0.001,0.02,0.002748173791265736,0.032382566508956996,3.667002958012745,0.6161904761904762,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0026573193172250856,0.03304043356299748,2.858981582976412,0.4780952380952381,True
3,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.04,,1000.0,0.001,0.04,0.002671539981966263,0.03405145780656438,2.1852903749677353,0.3763095238095238,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p003_eps_0.02,,1000.0,0.003,0.02,0.003097263221336604,0.032453216729259944,9.797315125004388,0.6070238095238095,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p003_eps_0.03,,1000.0,0.003,0.03,0.0029583896771872694,0.03274320001587762,8.117015415977221,0.4745238095238095,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p003_eps_0.04,,1000.0,0.003,0.04,0.002850212347272367,0.03353547236267572,4.503703917027451,0.3742857142857143,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p01_eps_0.02,,1000.0,0.01,0.02,0.003913222064816769,0.0361715819243126,15.55131704203086,0.6551190476190476,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p01_eps_0.03,,1000.0,0.01,0.03,0.0035533167859219035,0.03580370027133984,7.866692999959923,0.51,False
3,rbf_svr,rbf_svr_C_1000_gamma_0p01_eps_0.04,,1000.0,0.01,0.04,0.0033263412557971426,0.035850659652484795,3.5191062089870684,0.4023809523809524,False
4,ridge,ridge_alpha_1e-06,1e-06,,,,0.004275900636622799,0.04618075078530168,0.0005445830174721777,,False
4,ridge,ridge_alpha_3e-06,3e-06,,,,0.004274349098633609,0.04619478859731428,0.0004367919755168259,,False
4,ridge,ridge_alpha_1e-05,1e-05,,,,0.004274661823355433,0.04621302995737157,0.00044658296974375844,,False
4,ridge,ridge_alpha_3e-05,3e-05,,,,0.004272703936429697,0.04621716138925853,0.00041262502782046795,,True
4,ridge,ridge_alpha_0.0001,0.0001,,,,0.004274762229331687,0.04624031745730952,0.0004046669928357005,,False
4,ridge,ridge_alpha_0.0003,0.0003,,,,0.004276968195110335,0.04625620249754879,0.0004113329923711717,,False
4,ridge,ridge_alpha_0.001,0.001,,,,0.0042779449304494845,0.04627066472609855,0.0004058749764226377,,False
4,ridge,ridge_alpha_0.003,0.003,,,,0.004279145944899352,0.04631155748833605,0.00039962498703971505,,False
4,ridge,ridge_alpha_0.01,0.01,,,,0.004291340674825802,0.04647860738122431,0.0003993330174125731,,False
4,ridge,ridge_alpha_0.03,0.03,,,,0.0043444172063606895,0.04692254616910044,0.0004039169871248305,,False
4,ridge,ridge_alpha_0.1,0.1,,,,0.004500436438300582,0.04803703393920439,0.0003976249718107283,,False
4,ridge,ridge_alpha_1,1.0,,,,0.005242187451143953,0.05317488755950526,0.0004030410200357437,,False
4,ridge,ridge_alpha_10,10.0,,,,0.00708227827215073,0.06508419615794477,0.0005147909978404641,,False
4,ridge,ridge_alpha_100,100.0,,,,0.009459348115243314,0.07798169362314733,0.00047633302165195346,,False
4,ridge,ridge_alpha_300,300.0,,,,0.010159897101788735,0.0814629957165772,0.00042100000428035855,,False
4,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.02,,100.0,0.0005,0.02,0.0045141797622678895,0.04252882861967175,0.35026258300058544,0.6311904761904762,False
4,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.03,,100.0,0.0005,0.03,0.004382396909428021,0.04375901620918749,0.32985412498237565,0.5275,False
4,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.04,,100.0,0.0005,0.04,0.0043430303604363694,0.04571620528186389,0.2905692079802975,0.4388095238095238,False
4,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.02,,100.0,0.00075,0.02,0.004033933047028934,0.04008172048803606,0.45407625002553686,0.6248809523809524,False
4,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.03,,100.0,0.00075,0.03,0.003932545189231841,0.0412536622853188,0.4050149999675341,0.5141666666666667,False
4,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.04,,100.0,0.00075,0.04,0.003928316494236269,0.04317436771098828,0.3282006249646656,0.42083333333333334,False
4,rbf_svr,rbf_svr_C_100_gamma_0p001_eps_0.02,,100.0,0.001,0.02,0.0037083134967239428,0.03839595644537551,0.5177200000034645,0.6209523809523809,False
4,rbf_svr,rbf_svr_C_100_gamma_0p001_eps_0.03,,100.0,0.001,0.03,0.0036442587639819155,0.03960170241723451,0.4414678750326857,0.503452380952381,False
4,rbf_svr,rbf_svr_C_100_gamma_0p001_eps_0.04,,100.0,0.001,0.04,0.0036263923135432404,0.041172069380344505,0.38105662498855963,0.40535714285714286,False
4,rbf_svr,rbf_svr_C_100_gamma_0p003_eps_0.02,,100.0,0.003,0.02,0.002931128394783542,0.033664097570178284,1.055397875024937,0.6047619047619047,False
4,rbf_svr,rbf_svr_C_100_gamma_0p003_eps_0.03,,100.0,0.003,0.03,0.002872931533539745,0.034245483341933336,0.7794002079754137,0.47535714285714287,False
4,rbf_svr,rbf_svr_C_100_gamma_0p003_eps_0.04,,100.0,0.003,0.04,0.0029117248640886254,0.035644002554984774,0.6330198330106214,0.37583333333333335,False
4,rbf_svr,rbf_svr_C_100_gamma_0p01_eps_0.02,,100.0,0.01,0.02,0.003135515929464009,0.03372810626726389,3.067112167016603,0.6216666666666667,False
4,rbf_svr,rbf_svr_C_100_gamma_0p01_eps_0.03,,100.0,0.01,0.03,0.0031193443901677224,0.03466160532270614,1.7610992079717107,0.48595238095238097,False
4,rbf_svr,rbf_svr_C_100_gamma_0p01_eps_0.04,,100.0,0.01,0.04,0.003068821428402672,0.03550146473411135,1.0649163330090232,0.39011904761904764,False
4,rbf_svr,rbf_svr_C_300_gamma_0p0005_eps_0.02,,300.0,0.0005,0.02,0.003707276761656393,0.038298883375390336,0.7691574999480508,0.6222619047619048,False
4,rbf_svr,rbf_svr_C_300_gamma_0p0005_eps_0.03,,300.0,0.0005,0.03,0.00361542130324785,0.03932001467929859,0.6015547079732642,0.5042857142857143,False
