seed,storey,base_prediction,learned_upward_correction
4,1,0.1,0.03622846912768077
4,1,0.125,0.03622846912768077
4,1,0.15,0.03622846912768077
4,1,0.175,0.03622846912768077
4,1,0.2,0.03622846912768077
4,1,0.225,0.03622846912768077
4,1,0.25,0.03622846912768077
4,1,0.3,0.03622846912768077
4,1,0.35,0.03622846912768077
4,1,0.4,0.03622846912768077
4,2,0.0,0.0
4,2,0.025,0.0
4,2,0.05,0.0
4,2,0.075,0.0
4,2,0.1,0.0
4,2,0.125,0.023781745687534366
4,2,0.15,0.023781745687534366
4,2,0.175,0.023781745687534366
4,2,0.2,0.023781745687534366
4,2,0.225,0.023781745687534366
4,2,0.25,0.023781745687534366
4,2,0.3,0.023781745687534366
4,2,0.35,0.023781745687534366
4,2,0.4,0.023781745687534366
4,3,0.0,0.0
4,3,0.025,0.0
4,3,0.05,0.0
4,3,0.075,0.0
4,3,0.1,0.0
4,3,0.125,0.017989547166317125
4,3,0.15,0.017989547166317125
4,3,0.175,0.017989547166317125
4,3,0.2,0.017989547166317125
4,3,0.225,0.017989547166317125
4,3,0.25,0.017989547166317125
4,3,0.3,0.017989547166317125
4,3,0.35,0.017989547166317125
4,3,0.4,0.017989547166317125
4,4,0.0,0.0
4,4,0.025,0.0
4,4,0.05,0.0
4,4,0.075,0.0
4,4,0.1,0.0
4,4,0.125,0.015403413162340658
4,4,0.15,0.016712582896663965
4,4,0.175,0.016712582896663965
4,4,0.2,0.016712582896663965
4,4,0.225,0.016712582896663965
4,4,0.25,0.016712582896663965
4,4,0.3,0.016712582896663965
4,4,0.35,0.016712582896663965
4,4,0.4,0.016712582896663965
5,1,0.0,0.0
5,1,0.025,0.0
5,1,0.05,0.0
5,1,0.075,0.0
5,1,0.1,0.005253407651423597
5,1,0.125,0.017007881823500486
5,1,0.15,0.017007881823500486
5,1,0.175,0.017007881823500486
5,1,0.2,0.017007881823500486
5,1,0.225,0.017007881823500486
5,1,0.25,0.017007881823500486
5,1,0.3,0.017007881823500486
5,1,0.35,0.017007881823500486
5,1,0.4,0.017007881823500486
5,2,0.0,0.0
5,2,0.025,0.0
5,2,0.05,0.0
5,2,0.075,0.0
5,2,0.1,0.0
5,2,0.125,0.0
5,2,0.15,0.006034462999571087
5,2,0.175,0.012035709122816074
5,2,0.2,0.012035709122816074
5,2,0.225,0.012035709122816074
5,2,0.25,0.012035709122816074
5,2,0.3,0.012035709122816074
5,2,0.35,0.012035709122816074
5,2,0.4,0.012035709122816074
5,3,0.0,0.0
5,3,0.025,0.0
5,3,0.05,0.0
5,3,0.075,0.0
5,3,0.1,0.0
5,3,0.125,0.001628591924425741
5,3,0.15,0.005786609645703911
5,3,0.175,0.005786609645703911
5,3,0.2,0.005786609645703911
5,3,0.225,0.005786609645703911
5,3,0.25,0.005786609645703911
5,3,0.3,0.005786609645703911
5,3,0.35,0.005786609645703911
5,3,0.4,0.005786609645703911
5,4,0.0,0.0
5,4,0.025,0.0
5,4,0.05,0.0
5,4,0.075,0.0
5,4,0.1,0.0
5,4,0.125,0.0
5,4,0.15,0.0
5,4,0.175,0.0
5,4,0.2,0.0
5,4,0.225,0.0
5,4,0.25,0.0
5,4,0.3,0.0
5,4,0.35,0.0
5,4,0.4,0.0
6,1,0.0,0.0
6,1,0.025,0.0
6,1,0.05,0.0
6,1,0.075,0.0
6,1,0.1,0.011244712582924228
6,1,0.125,0.025472586023739616
6,1,0.15,0.025472586023739616
6,1,0.175,0.025472586023739616
6,1,0.2,0.025472586023739616
6,1,0.225,0.025472586023739616
6,1,0.25,0.025472586023739616
6,1,0.3,0.025472586023739616
6,1,0.35,0.025472586023739616
6,1,0.4,0.025472586023739616
6,2,0.0,0.0
6,2,0.025,0.0
6,2,0.05,0.0
6,2,0.075,0.0
6,2,0.1,0.0
6,2,0.125,0.0
6,2,0.15,0.013905106207258211
6,2,0.175,0.013905106207258211
6,2,0.2,0.013905106207258211
6,2,0.225,0.013905106207258211
6,2,0.25,0.013905106207258211
6,2,0.3,0.013905106207258211
6,2,0.35,0.013905106207258211
6,2,0.4,0.013905106207258211
6,3,0.0,0.0
6,3,0.025,0.0
6,3,0.05,0.0
6,3,0.075,0.0
6,3,0.1,0.0
6,3,0.125,0.013427085146879368
6,3,0.15,0.013427085146879368
6,3,0.175,0.013427085146879368
6,3,0.2,0.013427085146879368
6,3,0.225,0.013427085146879368
6,3,0.25,0.013427085146879368
6,3,0.3,0.013427085146879368
6,3,0.35,0.013427085146879368
6,3,0.4,0.013427085146879368
6,4,0.0,0.0
6,4,0.025,0.0
6,4,0.05,0.0
6,4,0.075,0.0
6,4,0.1,0.0
6,4,0.125,0.0
6,4,0.15,0.0
6,4,0.175,0.0
6,4,0.2,0.0
6,4,0.225,0.0
6,4,0.25,0.0
6,4,0.3,0.0
6,4,0.35,0.0
6,4,0.4,0.0
7,1,0.0,0.0
7,1,0.025,0.0
7,1,0.05,0.0
7,1,0.075,0.004443463683063888
7,1,0.1,0.03397991053604069
7,1,0.125,0.03738111878287109
7,1,0.15,0.03738111878287109
7,1,0.175,0.03738111878287109
7,1,0.2,0.03738111878287109
7,1,0.225,0.03738111878287109
7,1,0.25,0.03738111878287109
7,1,0.3,0.03738111878287109
7,1,0.35,0.03738111878287109
7,1,0.4,0.03738111878287109
7,2,0.0,0.0
7,2,0.025,0.0
7,2,0.05,0.0
7,2,0.075,0.0
7,2,0.1,0.007844999088180453
7,2,0.125,0.018863869745882993
7,2,0.15,0.02029588822799098
7,2,0.175,0.02029588822799098
7,2,0.2,0.02029588822799098
7,2,0.225,0.02029588822799098
