seed,descriptor_set,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
5,oracle_full,rbf_svr,zero,1251,0.01651301536016801,0.03031621105118831,0.01651301536016801,0.0,0.01651301536016801,
5,oracle_full,rbf_svr,low,110,0.027641779002608897,0.03880156463543809,-0.01086167334448639,0.0740682404267888,0.06320656708230242,0.6727272727272727
5,oracle_full,rbf_svr,medium,158,0.03334015594652972,0.04748516840587918,-0.02533721169989916,0.1518715059540506,0.12653429425415144,0.8227848101265823
5,oracle_full,rbf_svr,high,281,0.03808073257434284,0.05626125537387258,-0.02185909186761334,0.27600954438053704,0.2541504525129237,0.6298932384341637
6,oracle_full,rbf_svr,zero,1264,0.01697350501559785,0.03385271046629529,0.01697350501559785,0.0,0.01697350501559785,
6,oracle_full,rbf_svr,low,83,0.02603480601241783,0.03402083909612152,-0.013042862238982355,0.07456568934928055,0.06152282711029821,0.7710843373493976
6,oracle_full,rbf_svr,medium,174,0.029742741365600796,0.041927250695908844,-0.022769058424969135,0.14772642601362446,0.12495736758865532,0.8045977011494253
6,oracle_full,rbf_svr,high,279,0.04546037157880988,0.06955078449347926,-0.026265024871338926,0.27200351476528434,0.24573848989394542,0.6774193548387096
7,oracle_full,rbf_svr,zero,1264,0.018236616956949853,0.03442870418208369,0.018236616956949853,0.0,0.018236616956949853,
7,oracle_full,rbf_svr,low,79,0.02538252507660061,0.03714215766598975,-0.006128507030448156,0.07511434584635461,0.06898583881590646,0.6582278481012658
7,oracle_full,rbf_svr,medium,187,0.03321669991841002,0.04363877942028231,-0.021799501294342962,0.14788564119131778,0.1260861398969748,0.7540106951871658
7,oracle_full,rbf_svr,high,270,0.040552508674372476,0.060731162160134335,-0.022694433381574928,0.2733204295763381,0.25062599619476317,0.6407407407407407
8,oracle_full,rbf_svr,zero,1249,0.017493692626407566,0.03180602260357263,0.017493692626407566,0.0,0.017493692626407566,
8,oracle_full,rbf_svr,low,101,0.02453075017690564,0.032848905465735635,-0.01192707341031511,0.07449872011625885,0.06257164670594371,0.7128712871287128
8,oracle_full,rbf_svr,medium,178,0.038068463435656445,0.050729181570078885,-0.02915333491444754,0.15047243181846615,0.12131909690401858,0.8089887640449438
8,oracle_full,rbf_svr,high,272,0.0440624496309699,0.06316018374192735,-0.02415138668003123,0.273185974200254,0.24903458752022273,0.6654411764705882
9,oracle_full,rbf_svr,zero,1233,0.01529453596803099,0.027414503046276014,0.01529453596803099,0.0,0.01529453596803099,
9,oracle_full,rbf_svr,low,101,0.02510429494908946,0.03411138507055684,-0.012524035150332912,0.07436154466809781,0.061837509517764906,0.7326732673267327
9,oracle_full,rbf_svr,medium,182,0.03608704328585639,0.05183089055495542,-0.02743537200908367,0.15160801474736554,0.12417264273828187,0.8241758241758241
9,oracle_full,rbf_svr,high,284,0.04346385955992533,0.06267507125623256,-0.023351952473319847,0.27325098755726124,0.24989903508394137,0.6373239436619719
