seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
1,oracle_full,rbf_svr_C_750_gamma_0p0005_eps_0.03,750.0,0.0005,0.03,0.0022410000162728376,0.027927244832081272,1.4419615000369959,0.37023809523809526,False
1,oracle_full,rbf_svr_C_750_gamma_0p0005_eps_0.04,750.0,0.0005,0.04,0.0023767083524250804,0.03044257441164338,0.9316316660260782,0.2885714285714286,False
1,oracle_full,rbf_svr_C_750_gamma_0p00075_eps_0.02,750.0,0.00075,0.02,0.0019240000154871126,0.02450456937274313,2.741087834001519,0.4711904761904762,False
1,oracle_full,rbf_svr_C_750_gamma_0p00075_eps_0.03,750.0,0.00075,0.03,0.0019852552251398785,0.0262660630758052,2.037622084026225,0.3588095238095238,False
1,oracle_full,rbf_svr_C_750_gamma_0p00075_eps_0.04,750.0,0.00075,0.04,0.002142369133177424,0.028608189465758976,1.281298833026085,0.2839285714285714,False
1,oracle_full,rbf_svr_C_750_gamma_0p001_eps_0.02,750.0,0.001,0.02,0.0017678731522271667,0.02392913011832378,3.677497291995678,0.47226190476190477,False
1,oracle_full,rbf_svr_C_750_gamma_0p001_eps_0.03,750.0,0.001,0.03,0.001862922294787458,0.025578704886009475,2.378302666998934,0.35428571428571426,False
1,oracle_full,rbf_svr_C_750_gamma_0p001_eps_0.04,750.0,0.001,0.04,0.002030104661796454,0.027717965372909225,1.579625207989011,0.28035714285714286,False
1,oracle_full,rbf_svr_C_750_gamma_0p003_eps_0.02,750.0,0.003,0.02,0.001636990841998494,0.023372810486228295,6.674565542023629,0.49142857142857144,False
1,oracle_full,rbf_svr_C_750_gamma_0p003_eps_0.03,750.0,0.003,0.03,0.0017492680160949136,0.02496987552443089,3.4924834999837913,0.37476190476190474,False
1,oracle_full,rbf_svr_C_750_gamma_0p003_eps_0.04,750.0,0.003,0.04,0.0019105024780914684,0.026982910087235013,1.8380991659942083,0.2955952380952381,False
1,oracle_full,rbf_svr_C_750_gamma_0p01_eps_0.02,750.0,0.01,0.02,0.0021270205003385,0.02702140496482794,4.650277084030677,0.5469047619047619,False
1,oracle_full,rbf_svr_C_750_gamma_0p01_eps_0.03,750.0,0.01,0.03,0.0023049119578601074,0.02961879094843703,2.153445791976992,0.4269047619047619,False
1,oracle_full,rbf_svr_C_750_gamma_0p01_eps_0.04,750.0,0.01,0.04,0.002557042573882261,0.03287086573774461,1.2919247920508496,0.35119047619047616,False
1,oracle_full,rbf_svr_C_1000_gamma_0p0005_eps_0.02,1000.0,0.0005,0.02,0.002079111429509595,0.025389346076542172,2.5425963340094313,0.47833333333333333,False
1,oracle_full,rbf_svr_C_1000_gamma_0p0005_eps_0.03,1000.0,0.0005,0.03,0.0021329831940972237,0.02715144360643441,1.792046874994412,0.3610714285714286,False
1,oracle_full,rbf_svr_C_1000_gamma_0p0005_eps_0.04,1000.0,0.0005,0.04,0.0022705780058548215,0.02968204200938638,1.2516112090088427,0.28654761904761905,False
1,oracle_full,rbf_svr_C_1000_gamma_0p00075_eps_0.02,1000.0,0.00075,0.02,0.0018291038961494143,0.024064096320521804,3.6620331659796648,0.4682142857142857,False
1,oracle_full,rbf_svr_C_1000_gamma_0p00075_eps_0.03,1000.0,0.00075,0.03,0.001900706835214708,0.02572581226777757,2.3458387089776807,0.3538095238095238,False
1,oracle_full,rbf_svr_C_1000_gamma_0p00075_eps_0.04,1000.0,0.00075,0.04,0.0020656962726497852,0.027931095054760102,1.8049057500320487,0.28023809523809523,False
1,oracle_full,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.001702868542248649,0.023662724849464942,5.214653792034369,0.4682142857142857,False
