method,noise_level,noise_percent,severity,n_replicates,signed_bias_mean,signed_bias_std,mae_mean,mae_std,rmse_mean,rmse_std,underestimation_ratio_mean,underestimation_ratio_std,overestimation_ratio_mean,overestimation_ratio_std,equal_ratio_mean,equal_ratio_std
calibrated_svr,0.1,10,high,5,0.0570517228873562,0.0037159556914029,0.1216973871607577,0.001622634615487,0.1417387108314435,0.0012574225910011,0.2613138686131387,0.0119939246169014,0.7386861313868613,0.0119939246169014,0.0,0.0
calibrated_svr,0.2,20,high,5,0.1323378765720979,0.0016664021943636,0.2090740038383958,0.0026691544963,0.2188609920717061,0.0017285366324769,0.172992700729927,0.0048964992208024,0.827007299270073,0.0048964992208024,0.0,0.0
calibrated_svr,0.0,0,low,1,-0.0060902082089686,0.0,0.0231831254634136,0.0,0.0334626269802658,0.0,0.6238532110091743,0.0,0.3761467889908257,0.0,0.0,0.0
calibrated_svr,0.05,5,low,5,0.0106059539548677,0.0011422978772855,0.0477248652084824,0.0016396852890327,0.0722261329676653,0.004418135674489,0.4807339449541284,0.0381589620974044,0.5192660550458715,0.0381589620974044,0.0,0.0
calibrated_svr,0.1,10,low,5,0.076666970431542,0.0057770961188759,0.1145565496469117,0.0039138267532713,0.1478110539513469,0.0056683212563364,0.3412844036697248,0.020920650001819,0.6587155963302751,0.020920650001819,0.0,0.0
calibrated_svr,0.2,20,low,5,0.2333566809068674,0.0063823949600208,0.2662106568674859,0.0062802832751669,0.3041364550573363,0.0050013495962609,0.2422018348623853,0.0104603250009095,0.7577981651376147,0.0104603250009095,0.0,0.0
calibrated_svr,0.0,0,medium,1,-0.0106341266544479,0.0,0.0293490057946334,0.0,0.0392443952145894,0.0,0.5930232558139535,0.0,0.4069767441860465,0.0,0.0,0.0
calibrated_svr,0.05,5,medium,5,0.0037801435459428,0.0019721213737387,0.0560505378563369,0.001469207697062,0.0738587696386103,0.0015524953310523,0.4534883720930233,0.0108769110080637,0.5465116279069768,0.0108769110080637,0.0,0.0
calibrated_svr,0.1,10,medium,5,0.0537526707157902,0.0053946503634604,0.1235685586891444,0.0047115759879255,0.1456651875806259,0.0057814840410619,0.3186046511627907,0.0150490454715637,0.6813953488372093,0.0150490454715637,0.0,0.0
calibrated_svr,0.2,20,medium,5,0.1959757131672853,0.0021419197425737,0.2633709156753427,0.0019727434219307,0.2812715151912299,0.0013659880189665,0.2360465116279069,0.0078002371308132,0.7639534883720931,0.0078002371308132,0.0,0.0
calibrated_svr,0.0,0,zero,1,0.0176575061616459,0.0,0.0176575061616459,0.0,0.0293530603403014,0.0,0.0,0.0,0.6313253012048192,0.0,0.3686746987951807,0.0
calibrated_svr,0.05,5,zero,5,0.0421039597197827,0.0004854731934678,0.0421039597197827,0.0004854731934678,0.0709244262841074,0.0009900185383504,0.0,0.0,0.6983132530120482,0.0083973205067856,0.3016867469879518,0.0083973205067856
calibrated_svr,0.1,10,zero,5,0.1195005131398778,0.001163990073051,0.1195005131398778,0.001163990073051,0.1663645468523246,0.001197733037868,0.0,0.0,0.7670682730923695,0.0065990669578935,0.2329317269076305,0.0065990669578935
calibrated_svr,0.2,20,zero,5,0.3165362437448583,0.0011901353716214,0.3165362437448583,0.0011901353716214,0.3686749862829859,0.0011596134662849,0.0,0.0,0.8035341365461847,0.001344032171139,0.1964658634538152,0.001344032171139
standard_svr,0.0,0,all,1,0.0061818154527204,0.0,0.0220471400890294,0.0,0.0345135277243052,0.0,0.2183333333333333,0.0,0.5266666666666666,0.0,0.255,0.0
standard_svr,0.05,5,all,5,0.026839067262121,0.0002305903787478,0.0443593522646765,0.000529127987893,0.0691694528930839,0.0009077902041208,0.1584444444444444,0.0050978087764242,0.6328888888888888,0.004990732151439,0.2086666666666667,0.00580814668386
standard_svr,0.1,10,all,5,0.091800481621235,0.0013735722591626,0.1118056215665509,0.0009397832819425,0.1504321079596816,0.0009261983816255,0.0988888888888888,0.0033793125168323,0.74,0.0072222222222222,0.1611111111111111,0.0045643546458763
standard_svr,0.2,20,all,5,0.2635018062213049,0.0013293058168508,0.2838931183310059,0.0008917418894943,0.3301346680162271,0.0008994491275214,0.0653333333333333,0.0016005400323208,0.7987777777777778,0.0017743021580745,0.1358888888888889,0.0009296222517045
standard_svr,0.0,0,damaged,1,-0.0193438569079027,0.0,0.0321112500206671,0.0,0.0446215049760973,0.0,0.7081081081081081,0.0,0.2918918918918919,0.0,0.0,0.0
