method,noise_level,noise_percent,severity,n_replicates,signed_bias_mean,signed_bias_std,mae_mean,mae_std,rmse_mean,rmse_std,underestimation_ratio_mean,underestimation_ratio_std,overestimation_ratio_mean,overestimation_ratio_std,equal_ratio_mean,equal_ratio_std
standard_svr,0.1,10,high,5,0.042574920761648025,0.0036659876019223677,0.11402268443598788,0.0018596110333921256,0.13578209858578702,0.0013238581693501366,0.297080291970803,0.010514496562691938,0.7029197080291971,0.010514496562691903,0.0,0.0
standard_svr,0.2,20,high,5,0.1285342351836434,0.0012963057071594343,0.2069806407517331,0.0028129007469027724,0.21706974320322314,0.0019818428775830585,0.18175182481751823,0.0065286656277366035,0.8182481751824817,0.006528665627736613,0.0,0.0
standard_svr,0.0,0,low,1,-0.0077701916474926455,0.0,0.02173286519986604,0.0,0.031123676510665263,0.0,0.6330275229357798,0.0,0.3669724770642202,0.0,0.0,0.0
standard_svr,0.05,5,low,5,0.006560311428933291,0.0011288127016160715,0.04371397928763301,0.0018374417070939778,0.0675384571719224,0.004963235223775716,0.4862385321100917,0.04051266452443964,0.5137614678899082,0.040512664524439655,0.0,0.0
standard_svr,0.1,10,low,5,0.06691337115980807,0.005604632124051019,0.10481076203298131,0.003740475019175481,0.13735621369810383,0.005345737724476362,0.3412844036697248,0.020920650001819047,0.6587155963302751,0.020920650001819044,0.0,0.0
standard_svr,0.2,20,low,5,0.22456818202994464,0.0064452757716179625,0.25742215799056317,0.006331812341053632,0.2961165937747346,0.005093320178433817,0.24220183486238533,0.010460325000909524,0.7577981651376147,0.010460325000909532,0.0,0.0
standard_svr,0.0,0,medium,1,-0.023502721976575453,0.0,0.031250893176517344,0.0,0.040313471345180166,0.0,0.7965116279069767,0.0,0.20348837209302326,0.0,0.0,0.0
standard_svr,0.05,5,medium,5,-0.009161045537792638,0.0019136204532703893,0.05027262498165678,0.0012597634080576932,0.06828970735438541,0.001483863379801957,0.5534883720930233,0.00862348661290195,0.44651162790697674,0.008623486612901929,0.0,0.0
standard_svr,0.1,10,medium,5,0.040413002669850616,0.00528822937595033,0.11193479946998908,0.004631208165313597,0.13532142298408786,0.005897631009759709,0.3453488372093023,0.015160935826052652,0.6546511627906977,0.015160935826052643,0.0,0.0
standard_svr,0.2,20,medium,5,0.18969419916176705,0.0023480740591484564,0.2573044508600107,0.0023442936232971885,0.2760942333136039,0.0015201451736569095,0.24069767441860462,0.0078002371308132186,0.7593023255813953,0.007800237130813233,0.0,0.0
standard_svr,0.0,0,zero,1,0.017560729637576558,0.0,0.017560729637576558,0.0,0.028889511037513062,0.0,0.0,0.0,0.6313253012048192,0.0,0.3686746987951807,0.0
standard_svr,0.05,5,zero,5,0.04054880993198358,0.0004603501363111908,0.04054880993198358,0.0004603501363111908,0.06691904724171496,0.0009087812217710347,0.0,0.0,0.6983132530120482,0.008397320506785634,0.3016867469879518,0.008397320506785624
standard_svr,0.1,10,zero,5,0.11191224475011892,0.001111858257791741,0.11191224475011892,0.001111858257791741,0.15643639257556288,0.0011782642558623403,0.0,0.0,0.7670682730923695,0.006599066957893586,0.23293172690763053,0.006599066957893573
standard_svr,0.2,20,zero,5,0.3068108728200342,0.0012517059320841272,0.3068108728200342,0.0012517059320841272,0.3591564488106692,0.0012045581711112694,0.0,0.0,0.8035341365461847,0.0013440321711390567,0.19646586345381528,0.00134403217113907
