case_id,noise_level,noise_percent,replicate,descriptor_shift_l2,descriptor_shift_l1,standard_case_mae,standard_case_mae_change,calibrated_case_mae,calibrated_case_mae_change
967,0.2,20,1,0.3381182380410396,0.17961185002040472,0.28819508522243664,0.27056070172517993,0.30261284578386854,0.28497846228661183
1441,0.2,20,1,0.9622979749884678,0.5459808611006416,0.3615968376841008,0.3433537163910611,0.3728365329062099,0.36038824465185365
2121,0.2,20,1,0.1825417530823442,0.09011455490324467,0.264880427677442,0.25482154659861245,0.2792981882388739,0.26923930716004435
1966,0.2,20,1,0.24951048580995813,0.12358914525613372,0.38300877883466233,0.3726944527544826,0.38787319224858946,0.3801421728173021
2267,0.2,20,1,0.19233455046415823,0.09338320725772668,0.36958885504768874,0.3407432815889676,0.37821178257043714,0.34497415460654157
1618,0.2,20,1,0.30947902257101195,0.14943838983034674,0.1849016671396752,0.14317385360409146,0.1993194277011071,0.1517967811268399
2316,0.2,20,1,0.2095156240850592,0.10606372005980087,0.29063347976011294,0.27463543343208396,0.29063347976011294,0.2741539167845672
841,0.2,20,1,0.40667558410785587,0.19774450816513492,0.24632016127091677,0.21791905635581277,0.2532032070370564,0.21847509989539554
34,0.2,20,1,0.1805826046738533,0.09200631949184587,0.2115250469591557,0.20371550687830298,0.21638946037308282,0.21300275365988983
729,0.2,20,1,0.2493836183362898,0.11945234450981775,0.1972934647725858,0.1801516333145165,0.20591639229533426,0.18619134945620758
2637,0.2,20,1,1.4292380943429273,0.7791348199184879,0.28695518048521407,0.2027663802882333,0.28881363555221873,0.19248818155884084
1692,0.2,20,1,0.2078510588208083,0.10319637000624213,0.22846361213920918,0.2156456091856435,0.23874121493440942,0.23078762539477085
614,0.2,20,1,0.20998422869755856,0.10327960752412302,0.2527256951295143,0.23798212920332154,0.2613486226522627,0.2523998897647534
2888,0.2,20,1,1.7830669603976093,0.914194096484699,0.20688475197773315,0.16891029578183206,0.21614121989683477,0.17816676370093368
2537,0.2,20,1,0.2819044449356161,0.1439949478026749,0.23952024308038689,0.21413916921973508,0.2481431706031353,0.2169672637038
1765,0.2,20,1,0.320700427352564,0.16318992162425958,0.30881151891731307,0.2850064256187133,0.32322927947874497,0.2994241861801452
725,0.2,20,1,0.36275008187817925,0.22118487308667995,0.19880958198916,0.1686986952820697,0.20367399540308712,0.18311645584350159
1890,0.2,20,1,2.0769610855392298,1.0715392965189146,0.22146815639477846,0.19181257126475845,0.23072462431388008,0.19784249227213058
1822,0.2,20,1,0.3206727139105047,0.13223063079273237,0.11434904811900945,0.08519617820717597,0.12297197564175788,0.10337245287742913
145,0.2,20,1,0.7964913874757336,0.46874063071587185,0.5,0.4909140829537271,0.5,0.4909140829537271
2700,0.2,20,1,0.4255890590076797,0.20650529714702934,0.10514724505623105,0.07957607995279735,0.11316372764372026,0.0971459096877913
2895,0.2,20,1,0.24903312449411671,0.12339588348908499,0.3493016190438909,0.3258811980955648,0.3579245465666393,0.3331013470848042
445,0.2,20,1,0.7990880954120962,0.4738035484342215,0.29414774528782983,0.28400671389458004,0.3091990462456149,0.29326318181368166
341,0.2,20,1,0.7353361214937204,0.3908148578181175,0.4967708218532147,0.4621110046120058,0.5,0.46534018275879113
652,0.2,20,1,0.4241676080662734,0.23487824446077973,0.281061413036506,0.26083810857955003,0.29611271399429107,0.2840399781513308
1492,0.2,20,1,0.6358119389315235,0.35353383467868366,0.312843125959462,0.2571844368438288,0.31911031790689814,0.25905957428609044
352,0.2,20,1,1.2391309258668384,0.6926375179871537,0.3986958774469301,0.37358288960678326,0.40691010440335545,0.3861891710683831
290,0.2,20,1,0.29173584984623946,0.1512556345017497,0.27813848153820797,0.25936944275721907,0.2925562420996399,0.273787203318651
2062,0.2,20,1,0.30778932190959063,0.1417072205989159,0.24430293027739602,0.2322320520477621,0.2587206908388279,0.246649812609194
2772,0.2,20,1,0.8543559350207691,0.4813861708492766,0.5,0.4696651384191442,0.5,0.4696651384191442
1846,0.2,20,1,0.21034000815152692,0.09499616038495257,0.334534589566314,0.29522146736749516,0.334534589566314,0.2914629532586739
9,0.2,20,1,2.8091052647261385,1.4939867118368098,0.1597733268279158,0.06343356669941996,0.16463774024184294,0.05867949715105954
1235,0.2,20,2,1.8264413621258704,0.9800841852062165,0.18505706450948883,0.16962268540432615,0.1943135324285904,0.1788216258692763
1648,0.2,20,2,0.2197246061942731,0.11294217231159995,0.29003706974345245,0.2800500199050818,0.30445483030488435,0.29446778046651373
1607,0.2,20,2,0.33968972735661784,0.16929411782898265,0.27553241767575837,0.2450421402846502,0.286191664128369,0.25457721587474813
1449,0.2,20,2,0.5266003204367635,0.2911809340937502,0.17987726947508292,0.0929036334924921,0.18853940719563217,0.10643018462696849
11,0.2,20,2,0.6107039943857152,0.33732450156905774,0.24928014419122724,0.22966712691073113,0.2636979047526591,0.24461705666003639
1753,0.2,20,2,0.23410232782610133,0.12375719591684262,0.3143643958936557,0.30197513466973985,0.32164293995049154,0.3141732696032362
2042,0.2,20,2,0.2570137644574092,0.13281374190081977,0.3649015078371137,0.3459504267223067,0.36976592125104085,0.3508148401362338
2939,0.2,20,2,0.3742457350885327,0.18000637539238978,0.21712107443114848,0.19669193398973633,0.23153883499258038,0.2148682086599895
1439,0.2,20,2,0.2985385961103561,0.15815108297802719,0.33564322820942394,0.3148758939256806,0.34426615573217234,0.33161405176289555
2114,0.2,20,2,0.28773551200393155,0.15102170819297792,0.15013275238507437,0.0824443469844016,0.16455051294650624,0.09686210754583348
1368,0.2,20,2,0.34474466241051427,0.19373946958730903,0.2589016589843333,0.25306186139717907,0.27771147405093966,0.2698051636336519
1005,0.2,20,2,0.2515747449768494,0.11182518867550748,0.24042121979855735,0.2258092463381745,0.25483898035998925,0.24075917608747982
1713,0.2,20,2,1.1488266177993685,0.6618467392562878,0.43820211228982786,0.42691180643874427,0.43820211228982786,0.42204739302481714
385,0.2,20,2,0.3322185473369766,0.1950861401948667,0.27165758796157313,0.25728270402492126,0.2807222942966305,0.2712118237739058
827,0.2,20,2,0.8564570792158137,0.48752238476032006,0.45598044760859535,0.424801281608723,0.45598044760859535,0.42919333611389743
2275,0.2,20,2,0.22866563063337655,0.10001964141610009,0.3060609416899427,0.2889395189932458,0.3060609416899427,0.29067030790337167
329,0.2,20,2,0.19907587764744483,0.11018498972089798,0.31204649460873934,0.29703782175674937,0.3264642551701712,0.3090636835810161
15,0.2,20,2,1.934018121317983,0.9950889657395439,0.22939250236328318,0.20853107557631093,0.2342569157772103,0.2215460576042338
230,0.2,20,2,1.3145744269821733,0.7624399072231604,0.4345042539717224,0.4268271964458111,0.4358939763389097,0.42973630798067225
10,0.2,20,2,0.19437562715747403,0.09395152540810603,0.30125161029393704,0.2701890915747662,0.30987453781668545,0.2774092405640056
