noise_level,noise_percent,feature_index,feature_name,n_replicates,signed_mean_delta_z_mean,signed_mean_delta_z_std,mean_abs_delta_z_mean,mean_abs_delta_z_std,median_abs_delta_z_mean,median_abs_delta_z_std,rms_delta_z_mean,rms_delta_z_std,p95_abs_delta_z_mean,p95_abs_delta_z_std,fraction_abs_delta_z_gt_1_mean,fraction_abs_delta_z_gt_1_std,fraction_abs_delta_z_gt_2_mean,fraction_abs_delta_z_gt_2_std,rank_by_mean_abs_shift
0.05,5,5,story_1_crest_factor,5,0.15558239138095192,0.00826580199608468,0.19338011476956468,0.006323395975493065,0.09717001086215873,0.004553852968751908,0.30320864431399064,0.011805121661083277,0.7381884597680702,0.029675805776447267,0.010666666666666668,0.0036514837167011074,0.0,0.0,3
0.05,5,38,story_3_relative_to_lower_max_abs,5,0.1575637915679771,0.00531053962236693,0.15870650544759285,0.005129643142689168,0.044516587434646294,0.0019714974800467185,0.34002708846050816,0.015259779651882254,0.782305524738803,0.07702711577283768,0.036444444444444446,0.0033701668640229118,0.002222222222222222,0.0022222222222222222,4
0.05,5,23,story_4_crest_factor,5,0.14237718381604486,0.006538445356513058,0.1542581500293516,0.004380792302129108,0.14264794893384766,0.004738876864156742,0.18301602706831302,0.004548264918215161,0.3305810889774781,0.012008243827167055,0.0,0.0,0.0,0.0,5
0.05,5,63,story_2_spectral_centroid,5,0.14765136262735673,0.000977411238411157,0.1482660558715952,0.0009036436163980154,0.11583038024680223,0.0049423127332184685,0.1877102750874708,0.0013459471792981188,0.3809481799999041,0.006727221600705393,0.0,0.0,0.0,0.0,6
0.05,5,26,story_1_max_ground_amplification,5,0.13190426856351026,0.00421461548775226,0.1432096133365664,0.004048537592845407,0.03857165977580413,0.002062711691251592,0.302066470425574,0.009103787846768126,0.8146928574696222,0.032602750279167064,0.03111111111111111,0.0015713484026367726,0.0,0.0,7
0.05,5,34,story_1_relative_to_lower_max_abs,5,0.12417333297771875,0.0013693511638550892,0.1316190465131601,0.002191545198658636,0.03358032285302902,0.0022321811838002747,0.2933558565296318,0.010147006986991789,0.675420345078828,0.029375868052180173,0.02488888888888889,0.001859244503409057,0.0008888888888888889,0.0012171612389003691,8
0.05,5,36,story_2_relative_to_lower_max_abs,5,0.1243974203018365,0.0011672486005883942,0.1250365563840773,0.001113658173577521,0.039164482752747844,0.002494620282365571,0.26318527257450064,0.00409545175748994,0.5997234239774423,0.023171086293166405,0.018222222222222223,0.003296088216486961,0.00044444444444444447,0.0009938079899999067,9
0.05,5,0,story_1_mean,5,-0.002380963047238496,0.0047017438435263325,0.12323369526977741,0.002647031387863455,0.047430779743548465,0.0012992039720310562,0.281498122167552,0.01924707581745379,0.4871414023790651,0.023783270501152424,0.016444444444444446,0.004036867138796656,0.003111111111111111,0.0025337231668869733,10
0.05,5,2,story_1_max_abs,5,0.11277748517575444,0.0034160321603598077,0.12139244527538144,0.003212697037392915,0.028003638884968395,0.001215589761852036,0.27813333561452624,0.009806926566392251,0.6385466347271005,0.0280835067584858,0.02088888888888889,0.0019876159799998134,0.0008888888888888889,0.0012171612389003691,11
0.05,5,4,story_1_peak_to_peak,5,0.11324418294276098,0.0026385983018473967,0.11508541220323527,0.0024930520590000322,0.027538020066467033,0.0015226762600233548,0.2585650638420224,0.007432408812010394,0.591316112103178,0.027777580434971874,0.019555555555555555,0.001859244503409057,0.0,0.0,12
0.05,5,42,story_2_to_story_1_max_abs_ratio,5,-0.06902746563237797,0.00435367214867511,0.10356923221504602,0.003231005924283753,0.03449928242941144,0.0022159662433536924,0.20619654904770987,0.008372162014868092,0.5554771615718622,0.036735885100421944,0.0026666666666666666,0.002897423291201177,0.0,0.0,13
0.05,5,54,story_4_max_abs_spatial_fraction,5,-0.06612248426957672,0.005803386256174237,0.10290210462251796,0.00348347238176062,0.08239857807931976,0.004821591432273173,0.1314319022430551,0.004322100038726712,0.26575183927447227,0.011691014095831677,0.0,0.0,0.0,0.0,14
0.05,5,66,story_3_spectral_centroid,5,0.10137042096198276,0.0006846428206181079,0.10210277256477099,0.0005120083010910234,0.09009486307661345,0.0011257289494153863,0.12159622866839473,0.0006881468752810791,0.23383650001876427,0.0044967371241829025,0.0,0.0,0.0,0.0,15
0.05,5,17,story_3_crest_factor,5,0.07637042816930333,0.0028850464430294565,0.09356213837413455,0.0027162654163035115,0.0834163580976572,0.0030891211895292853,0.11375893997351401,0.0027889976048149473,0.20656410574598044,0.01231874600986819,0.0,0.0,0.0,0.0,16
