noise_level,noise_percent,replicate,feature_index,feature_name,signed_mean_delta_z,mean_abs_delta_z,median_abs_delta_z,rms_delta_z,p95_abs_delta_z,fraction_abs_delta_z_gt_1,fraction_abs_delta_z_gt_2
0.05,5,0,5,story_1_crest_factor,0.1571026924479094,0.19744675938989165,0.09821197857937955,0.30998055632570687,0.7736138932148257,0.008888888888888889,0.0
0.05,5,0,6,story_2_mean,-0.001858344530190568,0.06972039907818675,0.02483830288320267,0.14820367328565465,0.3372920276622829,0.0,0.0
0.05,5,0,7,story_2_std,0.0018167993115954654,0.0019025914982177682,0.0010373251481369436,0.0033318775299496545,0.007301565371406192,0.0,0.0
0.05,5,0,8,story_2_max_abs,0.042119313297129334,0.0437073205595996,0.01242345997123518,0.09456059501677357,0.21846652030464112,0.0,0.0
0.05,5,0,9,story_2_rms,0.0018161297633195346,0.001903095464323971,0.001034298892303713,0.0033322918911221685,0.007315567334947793,0.0,0.0
0.05,5,0,10,story_2_peak_to_peak,0.038878828173435784,0.03920693407216367,0.012110672083842882,0.08101378340733233,0.19287875072090005,0.0,0.0
0.05,5,0,11,story_2_crest_factor,0.07214859461091075,0.08783959091681301,0.08242764529516107,0.10637775183034139,0.1937962059485113,0.0,0.0
0.05,5,0,12,story_3_mean,0.0034962546818394637,0.04468655857298208,0.02016816934206856,0.09153955393888175,0.1664919146389925,0.0,0.0
0.05,5,0,13,story_3_std,0.0009444875316317635,0.0010923993531747954,0.0005577230564344376,0.002195163053509946,0.004125078516336591,0.0,0.0
0.05,5,0,14,story_3_max_abs,0.025740401689968412,0.026301143238998147,0.008632724457602855,0.055506760923752514,0.12298228714244655,0.0,0.0
0.05,5,0,15,story_3_rms,0.0009447670650998025,0.0010933088930002593,0.0005604868084370523,0.0021954750470486906,0.004131130463618887,0.0,0.0
0.05,5,0,16,story_3_peak_to_peak,0.023769876701060098,0.02394688808857923,0.008971798623550018,0.0473509135277605,0.1088917764257918,0.0,0.0
0.05,5,0,17,story_3_crest_factor,0.0716800910283444,0.09081417065177684,0.080199460705279,0.1117438088226741,0.19288435240319915,0.0,0.0
0.05,5,0,18,story_4_mean,-0.0004032561164610899,0.03972700489058814,0.013735946016239182,0.09373063088206188,0.1730034401686447,0.0,0.0
0.05,5,0,19,story_4_std,0.0005173013619283504,0.0006587361213870474,0.000283330964646646,0.001303961889252127,0.0029310425748070323,0.0,0.0
0.05,5,0,20,story_4_max_abs,0.02208325300286882,0.022298006732300212,0.006525296648876397,0.049611474681209376,0.09443582871446976,0.0,0.0
0.05,5,0,21,story_4_rms,0.0005173233777821494,0.0006588861330367816,0.00028400572327426035,0.0013039890455935255,0.002945913070761179,0.0,0.0
0.05,5,0,22,story_4_peak_to_peak,0.019701593293395225,0.01973388708989681,0.00661593182538432,0.04229129668477853,0.07873920064159962,0.0,0.0
0.05,5,0,23,story_4_crest_factor,0.15206338934880184,0.1597266530026961,0.14439787151726202,0.18934219495063626,0.3466871219389206,0.0,0.0
0.05,5,0,24,ground_max_abs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,25,ground_rms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,26,story_1_max_ground_amplification,0.13613105870738862,0.14811573020230162,0.03963755390623913,0.31438841171757054,0.8609440681124509,0.03111111111111111,0.0
0.05,5,0,27,story_1_rms_ground_amplification,0.010184296341340425,0.010286052530411927,0.0025339874485379903,0.02010425322293789,0.05155362340016132,0.0,0.0
0.05,5,0,28,story_2_max_ground_amplification,0.042879525140302806,0.04444296648455185,0.015626019497557597,0.08819642167988455,0.21546159026572775,0.0,0.0
0.05,5,0,29,story_2_rms_ground_amplification,0.0018588318972467218,0.0019374070265922355,0.0011418653116862876,0.0031359540964849093,0.0068658854838961015,0.0,0.0
0.05,5,0,30,story_3_max_ground_amplification,0.02606846219201663,0.026707493515221753,0.009520231592440857,0.0526306632471017,0.12727711687471335,0.0,0.0
0.05,5,0,31,story_3_rms_ground_amplification,0.0009378575609792682,0.0010776780344455088,0.0006484234459121648,0.0018821508744261096,0.003795582708121451,0.0,0.0
