method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
standard_svr,0.05,5,3,medium,172,-0.008323481237723623,0.05033548228573522,0.06759505089370037,0.5581395348837209,0.4418604651162791,0.0
standard_svr,0.05,5,3,high,274,-0.005325140055658803,0.05895599975755372,0.08108074199661813,0.5109489051094891,0.48905109489051096,0.0
standard_svr,0.05,5,3,damaged,555,-0.004161072629427376,0.05279937460491939,0.07378966174882216,0.527927927927928,0.4720720720720721,0.0
standard_svr,0.05,5,4,all,1800,0.02687194859550917,0.044731364282753074,0.06954835582704591,0.15944444444444444,0.6305555555555555,0.21
standard_svr,0.05,5,4,zero,1245,0.04048940718389762,0.04048940718389762,0.067026136757199,0.0,0.6963855421686747,0.3036144578313253
standard_svr,0.05,5,4,low,109,0.007250465828517598,0.04253875238156898,0.06303201583561006,0.4954128440366973,0.5045871559633027,0.0
standard_svr,0.05,5,4,medium,172,-0.009098985457250993,0.05236758922447753,0.07025166681193665,0.5523255813953488,0.4476744186046512,0.0
standard_svr,0.05,5,4,high,274,-0.0046170793748075475,0.06008465112701403,0.08175659850316601,0.5036496350364964,0.49635036496350365,0.0
standard_svr,0.05,5,4,damaged,555,-0.003675323373037875,0.05424710588288829,0.07489796772692747,0.5171171171171172,0.4828828828828829,0.0
standard_svr,0.1,10,0,all,1800,0.09130180941302499,0.11140596885262512,0.14950093170930873,0.09722222222222222,0.7394444444444445,0.16333333333333333
standard_svr,0.1,10,0,zero,1245,0.11093673984957914,0.11093673984957914,0.1553097085151482,0.0,0.763855421686747,0.236144578313253
standard_svr,0.1,10,0,low,109,0.07478580401569124,0.11023009457949082,0.14560161128426133,0.3302752293577982,0.6697247706422018,0.0
standard_svr,0.1,10,0,medium,172,0.03727405334212673,0.10925594618180771,0.1284875881239073,0.32558139534883723,0.6744186046511628,0.0
standard_svr,0.1,10,0,high,274,0.0425701679494994,0.11535547361154673,0.13575734135922327,0.3029197080291971,0.6970802919708029,0.0
standard_svr,0.1,10,0,damaged,555,0.047255884379673846,0.11245856364324186,0.13556804100306896,0.3153153153153153,0.6846846846846847,0.0
