sensor_count,sensor_layout,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
2,1-4,debug_sensors_14_3000,physics_no_meta_core,ridge,0.0792537861280464,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1003920157814387,86,0.1331441191314553,0.0552303846686955,physics_no_meta_core + ridge
2,1-4,debug_sensors_14_3000,full,elasticnet,0.0796993634548945,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.100233994901994,92,0.1327427951977348,0.0560534962924235,full + elasticnet
2,1-4,debug_sensors_14_3000,no_meta,elasticnet,0.0800241779200506,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1005258872683177,86,0.1333181724514107,0.0562666140928178,no_meta + elasticnet
2,1-4,debug_sensors_14_3000,physics_no_meta_core,elasticnet,0.0800241779200506,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1005258872683177,86,0.1333181724514107,0.0562666140928178,physics_no_meta_core + elasticnet
2,1-4,debug_sensors_14_3000,response_frequency,ridge,0.0809056397977261,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1015020772010588,75,0.1340831402525983,0.0572000070648312,response_frequency + ridge
2,1-4,debug_sensors_14_3000,response_frequency,elasticnet,0.0809611001594085,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1012503128179234,75,0.1339068612032646,0.0573587729470871,response_frequency + elasticnet
2,1-4,debug_sensors_14_3000,response_correlation,ridge,0.0813465133564793,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1014803226855959,59,0.1342195428077128,0.0577766086613512,response_correlation + ridge
2,1-4,debug_sensors_14_3000,response_spatial,ridge,0.0816309992644644,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1020326059771651,64,0.1349239757124882,0.0578738892816104,response_spatial + ridge
2,1-4,debug_sensors_14_3000,response_correlation,elasticnet,0.08174175974975,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1016973056766684,59,0.1346874903920192,0.0581394460899433,response_correlation + elasticnet
2,1-4,debug_sensors_14_3000,response_spatial,elasticnet,0.0817900458094386,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1019732823034988,64,0.1350577399404067,0.0580442062570793,response_spatial + elasticnet
2,1-4,debug_sensors_14_3000,response_basic_only,ridge,0.0823038943578281,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1024332559284779,52,0.1356858174454194,0.0585071334633597,response_basic_only + ridge
2,1-4,debug_sensors_14_3000,response_basic_only,elasticnet,0.082502851923208,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1024395753335744,52,0.135877144276741,0.0587094926812716,response_basic_only + elasticnet
1,4,debug_sensors_4_3000,full,random_forest,0.0801413755624158,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1010899983378665,92,0.1322971086412988,0.0568912294911065,full + random_forest
1,4,debug_sensors_4_3000,no_meta,random_forest,0.0807269013686337,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.10140304522908,86,0.1328086421350111,0.0575097398221764,no_meta + random_forest
1,4,debug_sensors_4_3000,physics_no_meta_core,random_forest,0.0807269013686338,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.10140304522908,86,0.1328086421350111,0.0575097398221764,physics_no_meta_core + random_forest
1,4,debug_sensors_4_3000,response_correlation,random_forest,0.0827946188421359,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1030484431074085,59,0.1370362223564255,0.0586146269140791,response_correlation + random_forest
1,4,debug_sensors_4_3000,response_frequency,random_forest,0.0830877811408361,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1032643510121053,75,0.1373282226889408,0.0589083071977051,response_frequency + random_forest
1,4,debug_sensors_4_3000,response_spatial,random_forest,0.0832160772648392,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1035185125198667,64,0.1373892711917034,0.05906658117696,response_spatial + random_forest
1,4,debug_sensors_4_3000,response_basic_only,random_forest,0.0834239549112807,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.103679011231935,52,0.1377509763404076,0.0592058851175736,response_basic_only + random_forest
1,4,debug_sensors_4_3000,full,ridge,0.0845468081788585,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1045700583773367,92,0.1395537603988766,0.0600256367072842,full + ridge
1,4,debug_sensors_4_3000,no_meta,ridge,0.0846191620153005,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1045246569852187,86,0.1394405921358499,0.0601806931663808,no_meta + ridge
1,4,debug_sensors_4_3000,physics_no_meta_core,ridge,0.0846191620153005,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1045246569852187,86,0.1394405921358499,0.0601806931663808,physics_no_meta_core + ridge
1,4,debug_sensors_4_3000,response_frequency,ridge,0.0846337874777485,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1045518217758096,75,0.1394498332712718,0.0601977188709971,response_frequency + ridge
1,4,debug_sensors_4_3000,response_spatial,ridge,0.0846842726617233,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046153172732829,64,0.1395233927560733,0.0602379179208685,response_spatial + ridge
1,4,debug_sensors_4_3000,full,elasticnet,0.0846891084449537,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1045986768988607,92,0.139646973478428,0.0601898192131639,full + elasticnet
1,4,debug_sensors_4_3000,no_meta,elasticnet,0.084717214158457,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046217712498865,86,0.1396806986723312,0.0602154198570914,no_meta + elasticnet
1,4,debug_sensors_4_3000,physics_no_meta_core,elasticnet,0.084717214158457,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046217712498865,86,0.1396806986723312,0.0602154198570914,physics_no_meta_core + elasticnet
1,4,debug_sensors_4_3000,response_spatial,elasticnet,0.084717214158457,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046217712498865,64,0.1396806986723312,0.0602154198570914,response_spatial + elasticnet
1,4,debug_sensors_4_3000,response_frequency,elasticnet,0.0847202440391111,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046247831693051,75,0.1396882261451968,0.0602164447870006,response_frequency + elasticnet
1,4,debug_sensors_4_3000,response_basic_only,elasticnet,0.0847349976456713,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046341874429015,52,0.1397051746741317,0.060230219934189,response_basic_only + elasticnet
1,4,debug_sensors_4_3000,response_correlation,elasticnet,0.0847349976456713,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046341874429015,59,0.1397051746741317,0.060230219934189,response_correlation + elasticnet
1,4,debug_sensors_4_3000,response_basic_only,ridge,0.0847817251189234,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046813991398299,52,0.1396129249508473,0.0603389010974634,response_basic_only + ridge
1,4,debug_sensors_4_3000,response_correlation,ridge,0.0847854527013648,results/tables/physics_ablation/debug_sensors_4_3000/ablation_model_comparison_fixed.csv,0.1046809588582182,59,0.1396019448422409,0.0603491851204923,response_correlation + ridge
