seed,metric,78d_ridge,78d_svr,92d_ridge,92d_svr,information_effect_under_ridge,information_effect_under_svr,model_effect_on_78d,model_effect_on_92d,interaction_difference_in_differences,information_improvement_ridge_percent,information_improvement_svr_percent,model_improvement_78d_percent,model_improvement_92d_percent
1,zero_damage_mae,0.0342218304456883,0.0237668405044165,0.0295759517935464,0.0167076565166553,-0.004645878652141902,-0.007059183987761199,-0.010454989941271801,-0.012868295276891099,-0.0024133053356192972,13.575774853759318,29.70181916460212,30.55064502719799,43.50931921554936
1,high_damage_mae,0.0984500646981939,0.0541436548462247,0.08498567055443723,0.0420484288202927,-0.013464394143756664,-0.012095226025932,-0.044306409851969195,-0.04293724173414453,0.0013691681178246637,13.676369015127396,22.339138464671578,45.00394183365327,50.52291928042298
1,high_damage_abs_bias,0.0884942159814567,0.0393857825073635,0.07051944330117094,0.0267813355930816,-0.017974772680285758,-0.012604446914281899,-0.049108433474093195,-0.043738107708089335,0.00537032576600386,20.311805106056013,32.0025301310832,55.4933821713088,62.022763738072626
1,high_damage_underestimation_ratio,0.8955223880597015,0.7350746268656716,0.7985074626865671,0.6753731343283582,-0.09701492537313439,-0.05970149253731338,-0.16044776119402993,-0.12313432835820892,0.037313432835821,10.83333333333334,8.121827411167507,17.916666666666675,15.420560747663547
2,test_mae,0.0451893619144701,0.0332054625329944,0.04093295330412676,0.0232920216463633,-0.0042564086103433416,-0.009913440886631097,-0.011983899381475704,-0.01764093165776346,-0.005657032276287756,9.41905003748326,29.854849565130042,26.519293200372314,43.09713869579243
2,test_rmse,0.0648171045807514,0.0518819362164582,0.060900991451425725,0.0407500470395125,-0.003916113129325681,-0.0111318891769457,-0.012935168364293204,-0.020150944411913223,-0.007215776047620019,6.041789670575072,21.45619456163318,19.956411888436207,33.08804000011313
2,damaged_entry_mae,0.0735755305615839,0.0494809225042308,0.06516891057439368,0.0365644783495356,-0.008406619987190223,-0.0129164441546952,-0.024094608057353105,-0.028604432224858083,-0.004509824167504978,11.425836719116482,26.103887116475644,32.74812682075807,43.892758023328696
2,zero_damage_mae,0.0333114615585855,0.0263951636797819,0.030791666219405125,0.0177382986287239,-0.002519795339180373,-0.008656865051058001,-0.006916297878803598,-0.013053367590681226,-0.006137069711877628,7.564349389920228,32.79716373832894,20.76251702928067,42.392534063177465
2,high_damage_mae,0.0989274642853243,0.0624776250946147,0.08683800533260207,0.0429596991211746,-0.012089458952722232,-0.019517925973440098,-0.0364498391907096,-0.043878306211427465,-0.007428467020717866,12.220528485248641,31.239865382018912,36.84501513713302,50.52891996236812
2,high_damage_abs_bias,0.0853340190689479,0.049054706967888,0.0687503267934052,0.0286326841189437,-0.016583692275542697,-0.020422022848944302,-0.0362793121010599,-0.0401176426744615,-0.003838330573401605,19.433858215612066,41.63111780957715,42.51447722361121,58.35265742810948
