noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.02,2.0,debug_noise_002_1000,physics_no_meta_core,random_forest,0.0705244257029709,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0913492941987386,86,0.1156920184252559,0.0510128880353489,physics_no_meta_core + random_forest
0.02,2.0,debug_noise_002_1000,response_correlation,random_forest,0.0705899100302303,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0918333007437623,59,0.1193275720747153,0.0495361705790327,response_correlation + random_forest
0.02,2.0,debug_noise_002_1000,response_frequency,random_forest,0.0733684340276875,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0949902477371863,75,0.1209904047967134,0.0527966519055068,response_frequency + random_forest
0.02,2.0,debug_noise_002_1000,response_spatial,random_forest,0.0750602205474385,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.096732697190849,64,0.124850736136647,0.053551668467136,response_spatial + random_forest
0.02,2.0,debug_noise_002_1000,response_basic_only,random_forest,0.0755908583326404,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0970088304379972,52,0.1262263380785691,0.053717297869602,response_basic_only + random_forest
0.05,5.0,debug_noise_005_1000,full,ridge,0.0375457865221562,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0557757893180006,92,0.059942654393031,0.0280987664249626,full + ridge
0.05,5.0,debug_noise_005_1000,no_meta,ridge,0.0410008851419796,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.059180649196582,86,0.0641380631636699,0.0312416015214562,no_meta + ridge
0.05,5.0,debug_noise_005_1000,physics_no_meta_core,ridge,0.0410008851419796,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.059180649196582,86,0.0641380631636699,0.0312416015214562,physics_no_meta_core + ridge
0.05,5.0,debug_noise_005_1000,full,elasticnet,0.0475576797827522,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0648118458959715,92,0.0751361110874033,0.0359250713177571,full + elasticnet
0.05,5.0,debug_noise_005_1000,response_frequency,ridge,0.0492544942546871,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0670911443851677,75,0.0792409978352674,0.0366061586211721,response_frequency + ridge
0.05,5.0,debug_noise_005_1000,no_meta,elasticnet,0.0498200511658396,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0676694479204338,86,0.0793118122840449,0.0373803983719047,no_meta + elasticnet
0.05,5.0,debug_noise_005_1000,physics_no_meta_core,elasticnet,0.0498200511658396,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0676694479204338,86,0.0793118122840449,0.0373803983719047,physics_no_meta_core + elasticnet
0.05,5.0,debug_noise_005_1000,response_correlation,ridge,0.0519739561716028,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0691632333462407,59,0.0778084148726954,0.0410769570038433,response_correlation + ridge
0.05,5.0,debug_noise_005_1000,response_correlation,elasticnet,0.0568045909032938,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0740406052295341,59,0.0891324830244158,0.0431686553640528,response_correlation + elasticnet
0.05,5.0,debug_noise_005_1000,response_frequency,elasticnet,0.0579189887052956,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0768702432050486,75,0.0951825094675404,0.0422012003269079,response_frequency + elasticnet
0.05,5.0,debug_noise_005_1000,response_spatial,ridge,0.0585641656508938,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0764988887272779,64,0.0912800006918301,0.0447645954203568,response_spatial + ridge
0.05,5.0,debug_noise_005_1000,response_basic_only,ridge,0.0598627118144555,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0769666803498032,52,0.0939847471460706,0.0454700049684188,response_basic_only + ridge
0.05,5.0,debug_noise_005_1000,response_spatial,elasticnet,0.0640480874947304,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0823754560676298,64,0.1036612432179789,0.0473392208626493,response_spatial + elasticnet
0.05,5.0,debug_noise_005_1000,response_basic_only,elasticnet,0.0648119855939989,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0823054193401349,52,0.1044769170023729,0.0480812799288554,response_basic_only + elasticnet
0.05,5.0,debug_noise_005_1000,response_correlation,random_forest,0.0701187134565357,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0888557075835886,59,0.1168540477336488,0.0504057051595544,response_correlation + random_forest
